Entity,Code,Year,Lives saved
Africa,,1974,9383
Africa,,1975,36453
Africa,,1976,56703
Africa,,1977,88489
Africa,,1978,135642
Africa,,1979,196954
Africa,,1980,270746
Africa,,1981,482229
Africa,,1982,780084
Africa,,1983,1034667
Africa,,1984,1362793
Africa,,1985,1827295
Africa,,1986,2293876
Africa,,1987,2915412
Africa,,1988,3549403
Africa,,1989,4363726
Africa,,1990,5213142
Africa,,1991,6130363
Africa,,1992,6947981
Africa,,1993,7911001
Africa,,1994,8861448
Africa,,1995,9886478
Africa,,1996,10906956
Africa,,1997,12008052
Africa,,1998,13044628
Africa,,1999,14171991
Africa,,2000,15327645
Africa,,2001,16524665
Africa,,2002,17723560
Africa,,2003,18984222
Africa,,2004,20323178
Africa,,2005,21744820
Africa,,2006,23236841
Africa,,2007,24833408
Africa,,2008,26453634
Africa,,2009,28117260
Africa,,2010,29790442
Africa,,2011,31478370
Africa,,2012,33131334
Africa,,2013,34805047
Africa,,2014,36485159
Africa,,2015,38053154
Africa,,2016,39761388
Africa,,2017,41451093
Africa,,2018,43121174
Africa,,2019,44799151
Africa,,2020,46438190
Africa,,2021,48065076
Africa,,2022,49709589
Africa,,2023,51371645
Africa,,2024,52940403
Americas,,1974,124050
Americas,,1975,341105
Americas,,1976,569936
Americas,,1977,832639
Americas,,1978,1210197
Americas,,1979,1646200
Americas,,1980,2109908
Americas,,1981,2642360
Americas,,1982,3137930
Americas,,1983,3588076
Americas,,1984,4032232
Americas,,1985,4522695
Americas,,1986,5003243
Americas,,1987,5484380
Americas,,1988,5948743
Americas,,1989,6407966
Americas,,1990,6861580
Americas,,1991,7325883
Americas,,1992,7758641
Americas,,1993,8196749
Americas,,1994,8609022
Americas,,1995,9019129
Americas,,1996,9399214
Americas,,1997,9771313
Americas,,1998,10124415
Americas,,1999,10472714
Americas,,2000,10793742
Americas,,2001,11110010
Americas,,2002,11407770
Americas,,2003,11674601
Americas,,2004,11930993
Americas,,2005,12181678
Americas,,2006,12421933
Americas,,2007,12654102
Americas,,2008,12885474
Americas,,2009,13104218
Americas,,2010,13400489
Americas,,2011,13610066
